Player Name,Career Path
John Stones,Barnsley -> Everton -> Manchester City
Marcus Rashford,Manchester United academy -> Manchester United
Son Heung-min,Hamburg -> Bayer Leverkusen -> Tottenham Hotspur -> Los Angeles FC
Kim Min-jae,Jeonbuk Hyundai Motors -> Fenerbahce -> Napoli -> Bayern Munich
Lee Kang-in,Valencia academy -> Mallorca -> Paris Saint-Germain
Hwang Hee-chan,Red Bull Salzburg -> RB Leipzig -> Wolverhampton Wanderers
Edin Džeko,Wolfsburg -> Manchester City -> Roma -> Inter -> Fenerbahce -> Schalke
Alphonso Davies,Vancouver Whitecaps -> Bayern Munich
Jonathan David,Gent -> Lille -> Juventus
Neymar,Santos -> Barcelona -> Paris Saint-Germain -> Al Hilal -> Santos
Vinícius Júnior,Flamengo -> Real Madrid
Bruno Guimarães,Athletico Paranaense -> Lyon -> Newcastle United
Marquinhos,Corinthians -> Roma -> Paris Saint-Germain
Achraf Hakimi,Real Madrid -> Borussia Dortmund -> Inter -> Paris Saint-Germain
Andy Robertson,Queen's Park -> Dundee United -> Hull City -> Liverpool
Scott McTominay,Manchester United academy -> Manchester United -> Napoli
Christian Pulisic,Borussia Dortmund -> Chelsea -> Milan
Weston McKennie,Schalke -> Juventus
Arda Güler,Fenerbahce -> Real Madrid
Manuel Neuer,Schalke -> Bayern Munich
Joshua Kimmich,Stuttgart academy -> RB Leipzig -> Bayern Munich
Antonio Rüdiger,Stuttgart -> Roma -> Chelsea -> Real Madrid
Florian Wirtz,Koln academy -> Bayer Leverkusen -> Liverpool
Jamal Musiala,Chelsea academy -> Bayern Munich
Moisés Caicedo,Independiente del Valle -> Brighton -> Chelsea
Virgil van Dijk,Groningen -> Celtic -> Southampton -> Liverpool
Frenkie de Jong,Willem II -> Ajax -> Barcelona
Memphis Depay,PSV -> Manchester United -> Lyon -> Barcelona -> Atletico Madrid -> Corinthians
Wataru Endo,Shonan Bellmare -> Urawa Red Diamonds -> Stuttgart -> Liverpool
Alexander Isak,AIK -> Borussia Dortmund -> Real Sociedad -> Newcastle United -> Liverpool
Kevin De Bruyne,Genk -> Chelsea -> Werder Bremen -> Wolfsburg -> Manchester City -> Napoli
Romelu Lukaku,Anderlecht -> Chelsea -> Everton -> Manchester United -> Inter -> Roma -> Napoli
Jérémy Doku,Anderlecht -> Rennes -> Manchester City
Mohamed Salah,Al Mokawloon -> Basel -> Chelsea -> Fiorentina -> Roma -> Liverpool
Omar Marmoush,Wadi Degla -> Wolfsburg -> Stuttgart -> Eintracht Frankfurt -> Manchester City
Lamine Yamal,Barcelona academy -> Barcelona
Pedri,Las Palmas -> Barcelona
Rodri,Villarreal -> Atletico Madrid -> Manchester City
Nico Williams,Athletic Club academy -> Athletic Club
Dani Olmo,Barcelona academy -> Dinamo Zagreb -> RB Leipzig -> Barcelona
Federico Valverde,Penarol -> Real Madrid
Darwin Núñez,Penarol -> Almeria -> Benfica -> Liverpool -> Al Hilal
Ronald Araújo,Rentistas -> Boston River -> Barcelona
Kylian Mbappé,Monaco -> Paris Saint-Germain -> Real Madrid
Ousmane Dembélé,Rennes -> Borussia Dortmund -> Barcelona -> Paris Saint-Germain
Aurélien Tchouaméni,Bordeaux -> Monaco -> Real Madrid
Mike Maignan,Paris Saint-Germain academy -> Lille -> AC Milan
Dayot Upamecano,Red Bull Salzburg -> RB Leipzig -> Bayern Munich
Kalidou Koulibaly,Metz -> Genk -> Napoli -> Chelsea -> Al Hilal
Sadio Mané,Metz -> Red Bull Salzburg -> Southampton -> Liverpool -> Bayern Munich -> Al Nassr
Édouard Mendy,Reims -> Rennes -> Chelsea -> Al Ahli
Erling Haaland,Bryne -> Molde -> Red Bull Salzburg -> Borussia Dortmund -> Manchester City
Martin Ødegaard,Stromsgodset -> Real Madrid -> Real Sociedad -> Arsenal
Lionel Messi,Barcelona academy -> Barcelona -> Paris Saint-Germain -> Inter Miami
Enzo Fernández,River Plate -> Benfica -> Chelsea
Lautaro Martínez,Racing Club -> Inter
Julián Álvarez,River Plate -> Manchester City -> Atletico Madrid
Emiliano Martínez,Independiente academy -> Arsenal -> Aston Villa
Riyad Mahrez,Le Havre -> Leicester City -> Manchester City -> Al Ahli
David Alaba,Austria Wien -> Bayern Munich -> Real Madrid
Cristiano Ronaldo,Sporting CP -> Manchester United -> Real Madrid -> Juventus -> Manchester United -> Al Nassr
Bruno Fernandes,Novara -> Udinese -> Sampdoria -> Sporting CP -> Manchester United
Bernardo Silva,Benfica -> Monaco -> Manchester City
Diogo Costa,Porto academy -> Porto
Rúben Dias,Benfica -> Manchester City
James Rodríguez,Envigado -> Banfield -> Porto -> Monaco -> Real Madrid -> Bayern Munich -> Everton
Harry Kane,Tottenham Hotspur academy -> Tottenham Hotspur -> Bayern Munich
Jude Bellingham,Birmingham City -> Borussia Dortmund -> Real Madrid
Declan Rice,West Ham United -> Arsenal
Bukayo Saka,Arsenal academy -> Arsenal
Jordan Pickford,Sunderland -> Everton
Joško Gvardiol,Dinamo Zagreb -> RB Leipzig -> Manchester City
Mateo Kovačić,Dinamo Zagreb -> Inter -> Real Madrid -> Chelsea -> Manchester City
Luka Modrić,Dinamo Zagreb -> Tottenham Hotspur -> Real Madrid -> Milan
Iñaki Williams,Athletic Club academy -> Athletic Club
