Nation,Display Name,Accepted Answers,Source,Generated ID
Algeria,Achref Abada,Abada; Abada Achref,FIFA-SQUAD-PDF,fifa-algeria-achref-abada
Algeria,Adil Boulbina,Boulbina; Boulbina Adil,FIFA-SQUAD-PDF,fifa-algeria-adil-boulbina
Algeria,Aissa Mandi,Mandi; Mandi Aissa,FIFA-SQUAD-PDF,fifa-algeria-aissa-mandi
Algeria,Amine Gouiri,Gouiri; Gouiri Amine,FIFA-SQUAD-PDF,fifa-algeria-amine-gouiri
Algeria,Anis Hadj Moussa,Hadj Moussa; Hadj Moussa Anis,FIFA-SQUAD-PDF,fifa-algeria-anis-hadj-moussa
Algeria,Fares Chaibi,Chaibi; Chaibi Fares,FIFA-SQUAD-PDF,fifa-algeria-fares-chaibi
Algeria,Fares Ghedjemis,Ghedjemis; Ghedjemis Fares,FIFA-SQUAD-PDF,fifa-algeria-fares-ghedjemis
Algeria,Hicham Boudaoui,Boudaoui; Boudaoui Hicham,FIFA-SQUAD-PDF,fifa-algeria-hicham-boudaoui
Algeria,Houssem Aouar,Aouar; Aouar Houssem,FIFA-SQUAD-PDF,fifa-algeria-houssem-aouar
Algeria,Ibrahim Maza,Maza; Maza Ibrahim,FIFA-SQUAD-PDF,fifa-algeria-ibrahim-maza
Algeria,Jaouen Hadjam,Hadjam; Hadjam Jaouen,FIFA-SQUAD-PDF,fifa-algeria-jaouen-hadjam
Algeria,Luca Zidane,Zidane; Zidane Luca,FIFA-SQUAD-PDF,fifa-algeria-luca-zidane
Algeria,Melvin Mastil,Mastil; Mastil Melvin,FIFA-SQUAD-PDF,fifa-algeria-melvin-mastil
Algeria,Mohamed Amoura,Amoura; Amoura Mohamed,FIFA-SQUAD-PDF,fifa-algeria-mohamed-amoura
Algeria,Mohamed Tougai,Tougai; Tougai Mohamed,FIFA-SQUAD-PDF,fifa-algeria-mohamed-tougai
Algeria,Nabil Bentaleb,Bentaleb; Bentaleb Nabil,FIFA-SQUAD-PDF,fifa-algeria-nabil-bentaleb
Algeria,Nadhir Benbouali,Benbouali; Benbouali Nadhir,FIFA-SQUAD-PDF,fifa-algeria-nadhir-benbouali
Algeria,Oussama Benbot,Benbot; Benbot Oussama,FIFA-SQUAD-PDF,fifa-algeria-oussama-benbot
Algeria,Rak Belghali,Belghali; Belghali Rak,FIFA-SQUAD-PDF,fifa-algeria-rak-belghali
Algeria,Ramiz Zerrouki,Zerrouki; Zerrouki Ramiz,FIFA-SQUAD-PDF,fifa-algeria-ramiz-zerrouki
Algeria,Ramy Bensebaini,Bensebaini; Bensebaini Ramy,FIFA-SQUAD-PDF,fifa-algeria-ramy-bensebaini
Algeria,Rayan Ait-Nouri,Ait-Nouri; Ait-Nouri Rayan,FIFA-SQUAD-PDF,fifa-algeria-rayan-ait-nouri
Algeria,Riyad Mahrez,Mahrez; Mahrez Riyad,FIFA-SQUAD-PDF,fifa-algeria-riyad-mahrez
Algeria,Samir Chergui,Chergui; Chergui Samir,FIFA-SQUAD-PDF,fifa-algeria-samir-chergui
Algeria,Yassine Titraoui,Titraoui; Titraoui Yassine,FIFA-SQUAD-PDF,fifa-algeria-yassine-titraoui
Algeria,Zineddine Belaid,Belaid; Belaid Zineddine,FIFA-SQUAD-PDF,fifa-algeria-zineddine-belaid
Argentina,Alexis Mac Allister,Mac Allister; Mac Allister Alexis,FIFA-SQUAD-PDF,fifa-argentina-alexis-mac-allister
Argentina,Cristian Romero,Romero; Romero Cristian,FIFA-SQUAD-PDF,fifa-argentina-cristian-romero
Argentina,Emiliano Martinez,Martinez; Martinez Emiliano,FIFA-SQUAD-PDF,fifa-argentina-emiliano-martinez
Argentina,Enzo Fernandez,Fernandez; Fernandez Enzo,FIFA-SQUAD-PDF,fifa-argentina-enzo-fernandez
Argentina,Exequiel Palacios,Palacios; Palacios Exequiel,FIFA-SQUAD-PDF,fifa-argentina-exequiel-palacios
Argentina,Facundo Medina,Medina; Medina Facundo,FIFA-SQUAD-PDF,fifa-argentina-facundo-medina
Argentina,Geronimo Rulli,Rulli; Rulli Geronimo,FIFA-SQUAD-PDF,fifa-argentina-geronimo-rulli
Argentina,Giovani Lo Celso,Lo Celso; Lo Celso Giovani,FIFA-SQUAD-PDF,fifa-argentina-giovani-lo-celso
Argentina,Giuliano Simeone,Simeone; Simeone Giuliano,FIFA-SQUAD-PDF,fifa-argentina-giuliano-simeone
Argentina,Gonzalo Montiel,Montiel; Montiel Gonzalo,FIFA-SQUAD-PDF,fifa-argentina-gonzalo-montiel
Argentina,Jose Lopez,Lopez; Lopez Jose,FIFA-SQUAD-PDF,fifa-argentina-jose-lopez
Argentina,Juan Musso,Musso; Musso Juan,FIFA-SQUAD-PDF,fifa-argentina-juan-musso
Argentina,Julian Alvarez,Alvarez; Alvarez Julian,FIFA-SQUAD-PDF,fifa-argentina-julian-alvarez
Argentina,Lautaro Martinez,Martinez; Martinez Lautaro,FIFA-SQUAD-PDF,fifa-argentina-lautaro-martinez
Argentina,Leandro Paredes,Paredes; Paredes Leandro,FIFA-SQUAD-PDF,fifa-argentina-leandro-paredes
Argentina,Leonardo Balerdi,Balerdi; Balerdi Leonardo,FIFA-SQUAD-PDF,fifa-argentina-leonardo-balerdi
Argentina,Lionel Messi,Messi; Messi Lionel,FIFA-SQUAD-PDF,fifa-argentina-lionel-messi
Argentina,Lisandro Martinez,Martinez; Martinez Lisandro,FIFA-SQUAD-PDF,fifa-argentina-lisandro-martinez
Argentina,Nahuel Molina,Molina; Molina Nahuel,FIFA-SQUAD-PDF,fifa-argentina-nahuel-molina
Argentina,Nico Gonzalez,Gonzalez; Gonzalez Nico,FIFA-SQUAD-PDF,fifa-argentina-nico-gonzalez
Argentina,Nico Paz,Paz; Paz Nico,FIFA-SQUAD-PDF,fifa-argentina-nico-paz
Argentina,Nicolas Otamendi,Otamendi; Otamendi Nicolas,FIFA-SQUAD-PDF,fifa-argentina-nicolas-otamendi
