Player Name,Nation,Club,Current Value,Status,Source,Notes
Emiliano Martínez,Argentina,Aston Villa,40,verified,FIFA-SQUAD; ARGENTINA-PROFILE; WIKIPEDIA,Verified clean sheets value present.
Geronimo Rulli,Argentina,Olympique Marseille,6,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Gerónimo_Rulli,Verified clean sheets value present.
Juan Musso,Argentina,Atlético De Madrid,4,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Juan_Musso,Verified clean sheets value present.
Mathew Ryan,Australia,Levante,39,verified,WIKIPEDIA; DEBUT-YEAR-ONLY,"Verified clean sheets value present, but row is still blocked by another rule."
Thibaut Courtois,Belgium,Real Madrid,54,verified,BEL-RBFA; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
Alisson,Brazil,Liverpool FC,44,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Alisson_Becker,Verified clean sheets value present.
Ederson,Brazil,Fenerbahçe SK,14,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Ederson,Verified clean sheets value present.
Weverton,Brazil,Grêmio FBPA,4,verified,"FIFA-PDF; https://en.wikipedia.org/wiki/Weverton_(footballer,_born_1987)",Verified clean sheets value present.
Dayne St. Clair,Canada,Inter Miami CF,9,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Dayne_St._Clair,Verified clean sheets value present.
Maxime Crepeau,Canada,Orlando City SC,12,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Maxime_Crépeau,Verified clean sheets value present.
Owen Goodman,Canada,Barnsley,0,verified,FIFA-PDF; https://en.wikipedia.org/wiki/Owen_Goodman,Verified clean sheets value present.
Vozinha,Cape Verde,Chaves,35,verified,CPV-FCF; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
David Ospina,Colombia,Atlético Nacional,61,verified,S-WC-SQUADS; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
Dominik Livaković,Croatia,Dinamo Zagreb,25,verified,S-WC-SQUADS; WIKIPEDIA; TRANSFERMARKT,"Verified clean sheets value present, but row is still blocked by another rule."
