Nation,Player Name,Reason
England,Nico Oreilly,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: clueFact; contains [Verify]: sources
England,Elliot Anderson,contains [Verify]: clueFact
England,Tino Livramento,contains [Verify]: clueFact
England,Ivan Toney,contains [Verify]: playedAlongside
England,James Trafford,contains [Verify]: clueFact
England,Djed Spence,contains [Verify]: clueFact
England,Jarell Quansah,contains [Verify]: clueFact
Spain,Marc Pubill,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: clueFact
Spain,Alex Grimaldo,contains [Verify]: clueFact
Spain,Marcos Llorente,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath
Spain,Mikel Merino,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath
Spain,Fabian Ruiz,contains [Verify]: clueFact
Spain,Pablo Gavi,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: clueFact; contains [Verify]: sources
Spain,Aymeric Laporte,contains [Verify]: playedAlongside
Spain,Alex Baena,contains [Verify]: clueFact
Spain,Mikel Oyarzabal,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: playedAlongside
Spain,Unai Simon,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Spain,Borja Iglesias,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: playedAlongside
Germany,Antonio Ruediger,contains [Verify]: internationalDebut; contains [Verify]: caps; contains [Verify]: internationalGoals; contains [Verify]: careerPath; contains [Verify]: clueFact; contains [Verify]: sources
Germany,Waldemar Anton,contains [Verify]: clueFact
Germany,Jonathan Tah,contains [Verify]: clueFact
Germany,Jamie Leweling,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Germany,Nick Woltemade,contains [Verify]: clueFact
Germany,Oliver Baumann,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Germany,Maximilian Beier,contains [Verify]: clueFact
Germany,Angelo Stiller,contains [Verify]: clueFact; contains [Verify]: playedAlongside
Germany,Nathaniel Brown,contains [Verify]: clueFact
