Nation,Home shirt colour,Primary shorts colour
Algeria,white,white
Argentina,sky-blue-white-vertical-stripes,black
Australia,yellow,green
Austria,red,white
Belgium,red,black
Bosnia and Herzegovina,blue,blue
Brazil,yellow,blue
Canada,red,red
Cape Verde,blue,blue
Colombia,yellow,blue
Croatia,red-white-horizontal-stripes,white
Curacao,blue,blue
Czech Republic,red,blue
DR Congo,sky-blue,sky-blue
Ecuador,yellow,navy
Egypt,red,white
England,white,navy
France,blue,white
Germany,white,black
Ghana,white,white
Haiti,blue,blue
Iran,white,white
Iraq,green,white
Ivory Coast,orange,orange
Japan,blue,blue
Jordan,white,white
Mexico,green,white
Morocco,red,green
Netherlands,orange,orange
New Zealand,black,black
Norway,red,navy
Panama,red,red
Paraguay,red-white-vertical-stripes,blue
Portugal,maroon,green
Qatar,maroon,maroon
Saudi Arabia,green,green
Scotland,navy,navy
Senegal,white,white
South Africa,yellow,green
South Korea,red,red
Spain,red,navy
Sweden,yellow,blue
Switzerland,red,red
Tunisia,white,white
Türkiye,red,red
Uruguay,sky-blue,black
United States,red-white-horizontal-stripes,navy
Uzbekistan,white,white
